ledger_id,sku_code,movement_type,qty_change,reference_id,movement_date
LED-000216460,NQ-TOP-001-S-NVY,판매출고,-1,ORD-000125461,2024-12-25T17:54:00
LED-001122267,NQ-TOP-001-L-BLK,판매출고,-1,ORD-000654199,2026-01-17T17:13:00
LED-001984869,NQ-TOP-003-XL-BLK,판매출고,-1,ORD-001159148,2026-07-31T13:13:00
LED-002029770,NQ-ACC-BAG-001-FREE-WHT,판매출고,-1,ORD-001187379,2026-08-04T17:20:00
LED-000374294,NQ-PNT-001-S-BEG,판매출고,-1,ORD-000217006,2025-04-06T12:33:00
LED-000539482,NQ-CLR-COOL-002-M-IVR,판매출고,-1,ORD-000312901,2025-07-09T18:22:00
LED-001921881,NQ-TOP-001-2XL-ORC,판매출고,-1,ORD-001120814,2026-07-25T11:04:00
LED-001253350,NQ-CLR-WRM-001-M-ASH,판매출고,-1,ORD-000729795,2026-03-03T17:30:00
LED-001383785,NQ-OUT-001-M-BLK,판매출고,-1,ORD-000806572,2026-03-19T18:15:00
LED-001956275,NQ-CLR-MUT-006-L-ASH,판매출고,-1,ORD-001141463,2026-07-28T12:52:00
LED-001858627,NQ-TOP-001-3XL-NVY,불량처리,0,ORD-001083911,2026-07-18T00:00:00
LED-001208834,NQ-PNT-001-L-NVY,판매출고,-1,ORD-000703676,2026-02-22T11:13:00
LED-000350256,NQ-CLR-WRM-004-S-IVR,반품입고,1,ORD-000203284,2025-04-16T00:00:00
LED-000344608,NQ-TOP-001-2XL-GRY,판매출고,-1,ORD-000200029,2025-03-20T23:28:00
LED-000704460,NQ-TOP-001-S-LYL,반품입고,1,ORD-000408675,2025-10-03T00:00:00
LED-000697183,TRD-OUT-02-NAT-003-L-BRN,반품입고,1,ORD-000404446,2025-09-25T00:00:00
LED-001048871,NQ-PNT-003-XS-GRY,판매출고,-1,ORD-000609867,2025-12-30T20:11:00
LED-001567978,NQ-TOP-001-M-BLK,판매출고,-1,ORD-000914198,2026-05-02T17:55:00
LED-000112938,NQ-PNT-002-S-GRY,반품입고,1,ORD-000065104,2024-09-11T00:00:00
LED-001090122,NQ-CLR-MUT-003-S-ASH,판매출고,-1,ORD-000634749,2026-01-09T08:18:00
LED-002096419,NQ-PNT-001-3XL-BEG,판매출고,-1,ORD-001231186,2026-08-12T14:54:00
LED-000539849,NQ-TOP-001-M-LYL,판매출고,-1,ORD-000313114,2025-07-09T18:12:00
LED-000806525,NQ-OUT-001-M-BLK,판매출고,-1,ORD-000467833,2025-10-24T16:16:00
LED-001372446,NQ-CLR-MUT-003-L-ASH,판매출고,-1,ORD-000799910,2026-03-16T12:27:00
LED-001925645,NQ-TOP-002-L-GRY,판매출고,-1,ORD-001123048,2026-07-25T16:13:00
LED-001864294,NQ-CLR-MUT-003-M-IVR,판매출고,-1,ORD-001087227,2026-07-11T11:29:00
LED-000371881,NQ-OUT-002-M-NVY,판매출고,-1,ORD-000215646,2025-04-05T20:42:00
LED-000781266,NQ-TOP-005-S-WHT,판매출고,-1,ORD-000453143,2025-10-13T17:04:00
LED-001202413,NQ-PNT-001-S-BLK,판매출고,-1,ORD-000699976,2026-02-20T15:37:00
LED-001257329,NQ-TOP-001-2XL-BLK,판매출고,-1,ORD-000732086,2026-03-04T21:33:00
LED-001264554,NQ-TOP-003-XL-GRY,불량처리,0,ORD-000736240,2026-03-24T00:00:00
LED-001174210,NQ-TOP-001-L-BLK,반품입고,1,ORD-000684029,2026-03-02T00:00:00
LED-000298332,NQ-OUT-001-S-BEG,판매출고,-1,ORD-000173274,2025-03-06T21:32:00
LED-001529740,NQ-PNT-001-XL-BLK,판매출고,-1,ORD-000891798,2026-04-23T20:41:00
LED-000709150,NQ-TOP-005-S-WHT,반품입고,1,ORD-000411362,2025-09-21T00:00:00
LED-001328980,NQ-TOP-002-2XL-NVY,판매출고,-1,ORD-000774157,2026-03-11T09:22:00
LED-002053989,NQ-TOP-001-3XL-NVY,판매출고,-1,ORD-001203067,2026-08-07T21:07:00
LED-000666437,NQ-TOP-001-L-SKB,판매출고,-1,ORD-000386888,2025-08-23T18:11:00
LED-001654070,NQ-CLR-COOL-002-M-CRM,판매출고,-1,ORD-000964499,2026-05-23T16:32:00
LED-000174630,NQ-CLR-COOL-002-S-ASH,판매출고,-1,ORD-000101019,2024-11-21T19:02:00
LED-001454967,NQ-OUT-002-M-NVY,판매출고,-1,ORD-000848331,2026-04-05T14:53:00
LED-001923859,NQ-CLR-WRM-001-S-IVR,판매출고,-1,ORD-001121973,2026-07-25T15:40:00
LED-000305098,NQ-CLR-WRM-001-S-CRM,판매출고,-1,ORD-000177150,2025-03-08T12:30:00
LED-000445326,NQ-PNT-001-3XL-NVY,판매출고,-1,ORD-000258186,2025-05-17T20:44:00
LED-001662149,NQ-OUT-001-L-NVY,판매출고,-1,ORD-000969219,2026-05-24T08:09:00
LED-001117660,NQ-PNT-003-M-GRY,판매출고,-1,ORD-000651415,2026-01-15T23:07:00
LED-000235765,NQ-CLR-WRM-004-L-ASH,판매출고,-1,ORD-000136901,2025-01-08T16:45:00
LED-001546069,NQ-PNT-004-XL-GRY,반품입고,1,ORD-000901339,2026-05-12T00:00:00
LED-001130693,NQ-TOP-001-S-ORC,반품입고,1,ORD-000659184,2026-02-06T00:00:00
LED-001770902,NQ-ACC-BAG-001-FREE-BRN,판매출고,-1,ORD-001032861,2026-06-20T13:22:00
LED-000403088,NQ-TOP-001-L-WHT,판매출고,-1,ORD-000233605,2025-04-22T19:38:00
LED-001077765,NQ-CLR-COOL-002-M-ASH,반품입고,1,ORD-000627277,2026-01-29T00:00:00
LED-001100145,NQ-CLR-COOL-002-L-ASH,판매출고,-1,ORD-000640887,2026-01-11T19:26:00
LED-001639964,NQ-PNT-001-3XL-BEG,판매출고,-1,ORD-000956249,2026-05-19T15:54:00
LED-001713280,NQ-OUT-002-L-NVY,판매출고,-1,ORD-000999360,2026-06-06T13:31:00
LED-000099667,NQ-TOP-001-4XL-NVY,불량처리,0,ORD-000057446,2024-08-20T00:00:00
LED-001892157,NQ-CLR-MUT-006-L-ASH,판매출고,-1,ORD-001103440,2026-07-18T11:39:00
LED-001345800,NQ-OUT-001-L-GRY,판매출고,-1,ORD-000784015,2026-03-13T19:30:00
LED-001184014,NQ-OUT-001-S-GRY,판매출고,-1,ORD-000689593,2026-02-12T11:03:00
LED-000724925,NQ-OUT-001-S-NVY,판매출고,-1,ORD-000420572,2025-09-19T09:01:00
LED-000344717,NQ-PNT-001-XL-BEG,판매출고,-1,ORD-000200091,2025-03-20T08:36:00
LED-000510827,NQ-TOP-001-S-SKB,반품입고,1,ORD-000296365,2025-07-18T00:00:00
LED-000098035,NQ-TOP-005-2XL-NVY,판매출고,-1,ORD-000056511,2024-08-04T21:29:00
LED-001378532,NQ-CLR-MUT-003-M-CRM,반품입고,1,ORD-000803445,2026-03-30T00:00:00
LED-001382417,NQ-DRS-001-M-IVR,판매출고,-1,ORD-000805773,2026-03-18T23:37:00
LED-001620214,NQ-PNT-004-2XL-BLK,판매출고,-1,ORD-000944733,2026-05-15T19:34:00
LED-000217018,NQ-PNT-004-4XL-BLK,반품입고,1,ORD-000125788,2025-01-22T00:00:00
LED-001396981,NQ-OUT-001-L-GRY,반품입고,1,ORD-000814480,2026-04-09T00:00:00
LED-000313879,NQ-TOP-001-L-NVY,판매출고,-1,ORD-000182187,2025-03-09T16:00:00
LED-000655876,NQ-TOP-001-XL-ORC,판매출고,-1,ORD-000380861,2025-08-17T14:28:00
LED-001774145,NQ-ACC-BLT-002-FREE-BRN,판매출고,-1,ORD-001034760,2026-06-20T19:23:00
LED-000582247,NQ-PNT-001-L-GRY,판매출고,-1,ORD-000337670,2025-07-27T12:28:00
LED-000596823,NQ-TOP-001-S-SKB,판매출고,-1,ORD-000346192,2025-07-31T13:36:00
LED-001611217,NQ-TOP-001-L-BLK,판매출고,-1,ORD-000939519,2026-05-12T08:59:00
LED-001803292,NQ-CLR-COOL-002-M-ASH,판매출고,-1,ORD-001051599,2026-06-27T17:02:00
LED-001700683,NQ-PNT-001-S-KHK,판매출고,-1,ORD-000991955,2026-06-03T15:40:00
LED-000416505,NQ-PNT-001-L-BLK,판매출고,-1,ORD-000241533,2025-04-30T18:38:00
LED-001236153,NQ-CLR-WRM-004-S-CRM,판매출고,-1,ORD-000719772,2026-03-01T17:11:00
LED-002030941,NQ-TOP-003-2XL-GRY,판매출고,-1,ORD-001188175,2026-08-04T09:50:00
LED-000671906,NQ-PNT-002-M-BLK,판매출고,-1,ORD-000389999,2025-08-26T18:20:00
LED-000608883,NQ-CLR-MUT-003-S-IVR,판매출고,-1,ORD-000353320,2025-08-03T21:23:00
LED-000724555,NQ-TOP-002-S-GRY,판매출고,-1,ORD-000420360,2025-09-19T17:47:00
LED-000462896,NQ-CLR-COOL-002-M-IVR,판매출고,-1,ORD-000268436,2025-05-27T14:10:00
LED-001586344,NQ-PNT-001-XL-BLK,판매출고,-1,ORD-000924981,2026-05-07T15:55:00
LED-001980849,NQ-DRS-001-L-BLK,판매출고,-1,ORD-001156694,2026-07-30T22:57:00
LED-000306833,NQ-CLR-COOL-002-S-ASH,판매출고,-1,ORD-000178125,2025-03-08T08:12:00
LED-000463930,NQ-TOP-001-L-BLK,판매출고,-1,ORD-000269033,2025-05-28T12:01:00
LED-001747110,NQ-TOP-002-M-GRY,판매출고,-1,ORD-001019054,2026-06-14T13:56:00
LED-000699565,NQ-OUT-001-M-BEG,판매출고,-1,ORD-000405814,2025-09-07T22:36:00
LED-001009568,NQ-PNT-001-XS-BEG,판매출고,-1,ORD-000586930,2025-12-22T11:31:00
LED-001489274,NQ-ACC-CAP-004-FREE-BRN,판매출고,-1,ORD-000868389,2026-04-13T14:18:00
LED-000154494,NQ-TOP-002-L-WHT,반품입고,1,ORD-000089305,2024-11-03T00:00:00
LED-000309540,NQ-OUT-001-L-BEG,판매출고,-1,ORD-000179697,2025-03-08T09:13:00
LED-000665181,NQ-TOP-003-2XL-GRY,반품입고,1,ORD-000386162,2025-09-17T00:00:00
LED-001036287,NQ-TOP-001-XL-WHT,판매출고,-1,ORD-000602335,2025-12-28T18:41:00
LED-001752400,NQ-TOP-001-S-ORC,판매출고,-1,ORD-001022163,2026-06-15T08:26:00
LED-000122423,NQ-CLR-WRM-001-L-CRM,판매출고,-1,ORD-000070632,2024-09-09T15:45:00
LED-001011465,NQ-TOP-001-M-NVY,판매출고,-1,ORD-000588011,2025-12-22T23:02:00
LED-001209558,NQ-CLR-COOL-005-M-CRM,판매출고,-1,ORD-000704098,2026-02-22T16:11:00
LED-002099782,NQ-OUT-001-S-NVY,판매출고,-1,ORD-001233410,2026-08-13T15:56:00
LED-000525094,NQ-PNT-001-M-BLK,판매출고,-1,ORD-000304602,2025-07-01T20:25:00
LED-000349534,NQ-CLR-MUT-003-L-CRM,판매출고,-1,ORD-000202883,2025-03-23T17:33:00
LED-001458490,NQ-OUT-001-M-NVY,판매출고,-1,ORD-000850459,2026-04-05T21:40:00
LED-000648920,NQ-PNT-001-2XL-BLK,판매출고,-1,ORD-000376868,2025-08-13T16:32:00
LED-000976164,NQ-TOP-001-3XL-SKB,반품입고,1,ORD-000567516,2026-01-11T00:00:00
LED-001390148,NQ-OUT-001-M-GRY,판매출고,-1,ORD-000810371,2026-03-20T19:11:00
LED-000567455,NQ-CLR-MUT-006-M-CRM,판매출고,-1,ORD-000329143,2025-07-25T14:45:00
LED-001805205,NQ-CLR-COOL-002-M-IVR,판매출고,-1,ORD-001052725,2026-06-27T21:12:00
LED-000503628,NQ-PNT-001-XL-GRY,판매출고,-1,ORD-000292101,2025-06-19T22:05:00
LED-000851211,NQ-OUT-001-L-BLK,판매출고,-1,ORD-000493803,2025-11-13T08:39:00
LED-000002884,NQ-TOP-001-M-BLK,판매출고,-1,ORD-000000934,2024-03-02T12:40:00
LED-001825826,NQ-CLR-MUT-003-L-ASH,판매출고,-1,ORD-001064848,2026-07-02T13:12:00
LED-000589547,NQ-TOP-001-XL-NVY,판매출고,-1,ORD-000341944,2025-07-29T19:00:00
LED-000831260,NQ-TOP-001-L-SKB,반품입고,1,ORD-000482160,2025-11-21T00:00:00
LED-000936179,NQ-CLR-MUT-003-L-IVR,판매출고,-1,ORD-000544361,2025-11-30T08:37:00
LED-000675438,NQ-TOP-001-2XL-NVY,판매출고,-1,ORD-000392010,2025-08-28T13:52:00
LED-000792508,NQ-TOP-001-S-SKB,판매출고,-1,ORD-000459731,2025-10-18T13:52:00
LED-001423031,NQ-TOP-001-M-SKB,판매출고,-1,ORD-000829683,2026-03-28T13:10:00
LED-000671266,NQ-OUT-001-L-BLK,판매출고,-1,ORD-000389620,2025-08-25T10:49:00
LED-000867498,NQ-CLR-COOL-002-L-CRM,반품입고,1,ORD-000503413,2025-12-02T00:00:00
LED-001060569,NQ-TOP-003-2XL-WHT,판매출고,-1,ORD-000616728,2026-01-02T21:42:00
LED-000709089,NQ-PNT-001-L-GRY,판매출고,-1,ORD-000411329,2025-09-12T08:27:00
LED-001443958,NQ-TOP-001-M-ORC,판매출고,-1,ORD-000841845,2026-04-02T18:06:00
LED-001259851,NQ-TOP-001-L-ORC,판매출고,-1,ORD-000733541,2026-03-04T13:48:00
LED-000281569,NQ-TOP-001-XL-ORC,판매출고,-1,ORD-000163645,2025-03-02T23:32:00
LED-000911838,NQ-CLR-MUT-003-S-IVR,판매출고,-1,ORD-000529602,2025-11-26T17:52:00
LED-000161935,NQ-TOP-003-M-BLK,판매출고,-1,ORD-000093661,2024-11-06T11:50:00
LED-001427408,NQ-PNT-001-4XL-KHK,판매출고,-1,ORD-000832262,2026-03-29T14:31:00
LED-001358380,NQ-CLR-WRM-001-L-CRM,판매출고,-1,ORD-000791395,2026-03-14T18:58:00
LED-001719249,NQ-TOP-001-S-NVY,판매출고,-1,ORD-001002870,2026-06-07T08:50:00
LED-000408807,NQ-PNT-003-L-GRY,판매출고,-1,ORD-000237001,2025-04-26T11:38:00
LED-001739542,NQ-OUT-001-L-BEG,판매출고,-1,ORD-001014677,2026-06-12T13:48:00
LED-001446664,NQ-TOP-001-L-SKB,판매출고,-1,ORD-000843406,2026-04-03T14:24:00
LED-001736861,NQ-PNT-003-2XL-BEG,판매출고,-1,ORD-001013108,2026-06-12T19:02:00
LED-001977932,NQ-OUT-001-M-GRY,판매출고,-1,ORD-001154899,2026-07-30T22:42:00
LED-001871216,NQ-CLR-MUT-003-S-CRM,판매출고,-1,ORD-001091233,2026-07-13T16:22:00
LED-001685246,NQ-DRS-002-S-IVR,반품입고,1,ORD-000982829,2026-06-12T00:00:00
LED-001220448,NQ-TOP-003-L-BLK,판매출고,-1,ORD-000710419,2026-02-28T14:20:00
LED-000058447,NQ-TOP-001-L-ORC,판매출고,-1,ORD-000033377,2024-06-05T14:10:00
LED-001208813,NQ-PNT-001-L-GRY,판매출고,-1,ORD-000703667,2026-02-22T09:26:00
LED-002062592,NQ-PNT-001-XL-NVY,판매출고,-1,ORD-001208633,2026-08-08T16:40:00
LED-000317361,NQ-PNT-003-L-BEG,판매출고,-1,ORD-000184170,2025-03-10T23:41:00
LED-001738622,NQ-ACC-PCH-005-FREE-BLK,판매출고,-1,ORD-001014136,2026-06-12T20:48:00
LED-000902569,NQ-CLR-COOL-002-L-CRM,판매출고,-1,ORD-000524203,2025-11-25T13:32:00
LED-000076668,NQ-TOP-003-XL-BLK,판매출고,-1,ORD-000044119,2024-07-10T10:52:00
LED-002043997,NQ-TOP-001-S-ORC,판매출고,-1,ORD-001196575,2026-08-06T08:37:00
LED-001064902,NQ-PNT-001-XL-KHK,판매출고,-1,ORD-000619402,2026-01-03T22:06:00
LED-001475358,NQ-OUT-001-S-NVY,판매출고,-1,ORD-000860299,2026-04-10T10:20:00
LED-000326475,TRD-OUT-01-NAT-003-L-BLK,판매출고,-1,ORD-000189594,2025-03-12T08:30:00
LED-001368022,NQ-CLR-MUT-003-S-CRM,판매출고,-1,ORD-000797321,2026-03-15T20:42:00
LED-000488826,NQ-TOP-001-4XL-LYL,판매출고,-1,ORD-000283503,2025-06-11T17:46:00
LED-002019826,NQ-TOP-001-M-NVY,판매출고,-1,ORD-001181053,2026-08-03T13:57:00
LED-001540251,NQ-CLR-WRM-001-M-CRM,판매출고,-1,ORD-000897958,2026-04-25T12:32:00
LED-000178478,NQ-CLR-MUT-006-L-IVR,판매출고,-1,ORD-000103268,2024-11-23T16:01:00
LED-001411082,NQ-OUT-001-M-GRY,판매출고,-1,ORD-000822762,2026-03-25T17:24:00
LED-001599622,NQ-PNT-001-2XL-NVY,판매출고,-1,ORD-000932754,2026-05-10T11:13:00
LED-000413268,NQ-TOP-005-M-WHT,판매출고,-1,ORD-000239670,2025-04-28T18:50:00
LED-000454680,NQ-TOP-005-M-GRY,판매출고,-1,ORD-000263620,2025-05-23T09:47:00
LED-000529845,NQ-TOP-001-L-ORC,반품입고,1,ORD-000307359,2025-07-15T00:00:00
LED-000954609,NQ-TOP-003-M-WHT,판매출고,-1,ORD-000555199,2025-12-06T09:55:00
LED-001725335,NQ-TOP-002-M-GRY,판매출고,-1,ORD-001006419,2026-06-09T19:18:00
LED-002079642,NQ-TOP-003-M-GRY,판매출고,-1,ORD-001220107,2026-08-09T20:45:00
LED-001890620,NQ-DRS-002-S-BLK,판매출고,-1,ORD-001102539,2026-07-18T17:20:00
LED-001775724,NQ-TOP-001-M-ORC,반품입고,1,ORD-001035705,2026-07-11T00:00:00
LED-001319009,TRD-OUT-03-NAT-003-L-BLK,반품입고,1,ORD-000768244,2026-03-28T00:00:00
LED-001506014,NQ-ACC-BAG-001-FREE-BEG,판매출고,-1,ORD-000877999,2026-04-17T15:49:00
LED-000018256,NQ-TOP-001-XL-NVY,판매출고,-1,ORD-000009912,2024-03-14T19:39:00
LED-000832696,NQ-PNT-001-XL-GRY,판매출고,-1,ORD-000483003,2025-11-04T14:13:00
LED-000788475,NQ-TOP-001-S-BLK,반품입고,1,ORD-000457361,2025-11-08T00:00:00
LED-000706590,NQ-PNT-001-M-NVY,반품입고,1,ORD-000409863,2025-09-29T00:00:00
LED-001470885,NQ-DRS-001-M-BLK,판매출고,-1,ORD-000857674,2026-04-09T23:04:00
LED-001771771,NQ-PNT-001-4XL-GRY,판매출고,-1,ORD-001033386,2026-06-20T15:29:00
LED-000683683,NQ-OUT-001-L-GRY,판매출고,-1,ORD-000396704,2025-09-01T22:35:00
LED-001180397,NQ-OUT-002-M-BEG,판매출고,-1,ORD-000687551,2026-02-10T20:30:00
LED-001954090,NQ-TOP-001-XS-ORC,판매출고,-1,ORD-001140065,2026-07-27T15:20:00
LED-000940275,NQ-PNT-001-3XL-NVY,판매출고,-1,ORD-000546798,2025-11-30T12:04:00
LED-000317154,NQ-PNT-002-XL-BEG,판매출고,-1,ORD-000184052,2025-03-10T23:34:00
LED-001599934,NQ-CLR-COOL-002-L-CRM,판매출고,-1,ORD-000932939,2026-05-10T11:43:00
LED-001155956,NQ-TOP-001-S-GRY,판매출고,-1,ORD-000673607,2026-01-31T23:31:00
LED-001060054,NQ-PNT-001-XL-GRY,판매출고,-1,ORD-000616417,2026-01-02T22:59:00
LED-001981506,NQ-TOP-003-M-WHT,판매출고,-1,ORD-001157094,2026-07-30T14:02:00
LED-000260378,NQ-PNT-001-S-BEG,판매출고,-1,ORD-000151271,2025-02-07T23:03:00
LED-001193057,NQ-OUT-001-S-BEG,판매출고,-1,ORD-000694682,2026-02-15T19:10:00
LED-001485405,NQ-ACC-SCF-003-FREE-BEG,판매출고,-1,ORD-000866090,2026-04-12T13:17:00
LED-001856337,NQ-CLR-COOL-002-M-IVR,판매출고,-1,ORD-001082558,2026-07-10T09:37:00
LED-001443268,NQ-OUT-001-S-NVY,판매출고,-1,ORD-000841454,2026-04-02T09:03:00
LED-000770454,NQ-CLR-COOL-002-M-CRM,판매출고,-1,ORD-000446923,2025-10-09T22:25:00
LED-001222012,NQ-PNT-001-XS-GRY,판매출고,-1,ORD-000711392,2026-02-28T09:04:00
LED-001151580,NQ-OUT-003-S-NVY,판매출고,-1,ORD-000671144,2026-01-29T13:50:00
LED-000495902,NQ-PNT-001-XS-GRY,판매출고,-1,ORD-000287560,2025-06-15T08:28:00
LED-000895695,NQ-OUT-001-L-BLK,반품입고,1,ORD-000520017,2025-12-19T00:00:00
LED-001161789,NQ-OUT-001-M-BLK,판매출고,-1,ORD-000676916,2026-02-02T19:58:00
LED-000350281,NQ-OUT-002-M-NVY,판매출고,-1,ORD-000203299,2025-03-23T18:21:00
LED-001064789,NQ-TOP-005-M-WHT,판매출고,-1,ORD-000619327,2026-01-03T19:42:00
LED-002105844,NQ-OUT-001-L-BEG,판매출고,-1,ORD-001237496,2026-08-15T21:41:00
LED-001191885,NQ-PNT-001-4XL-NVY,판매출고,-1,ORD-000694018,2026-02-15T08:13:00
LED-001246254,NQ-PNT-001-S-NVY,판매출고,-1,ORD-000725673,2026-03-03T12:32:00
LED-000939777,NQ-PNT-002-XS-BEG,판매출고,-1,ORD-000546492,2025-11-30T22:38:00
LED-000024242,NQ-TOP-003-4XL-BLK,판매출고,-1,ORD-000013400,2024-03-27T14:01:00
LED-000268595,NQ-TOP-001-L-GRY,판매출고,-1,ORD-000156072,2025-02-19T15:28:00
LED-001397571,NQ-OUT-001-L-BEG,판매출고,-1,ORD-000814823,2026-03-22T15:58:00
LED-001892892,NQ-OUT-001-S-BEG,판매출고,-1,ORD-001103878,2026-07-18T12:16:00
LED-000968805,NQ-PNT-003-L-BEG,판매출고,-1,ORD-000563322,2025-12-12T21:03:00
LED-000232059,NQ-TOP-003-2XL-BLK,판매출고,-1,ORD-000134689,2025-01-05T18:06:00
LED-000347112,NQ-PNT-001-S-BLK,판매출고,-1,ORD-000201495,2025-03-21T23:24:00
LED-000483241,NQ-TOP-001-S-ORC,판매출고,-1,ORD-000280289,2025-06-08T17:02:00
LED-000802254,NQ-PNT-004-XS-BEG,판매출고,-1,ORD-000465338,2025-10-22T15:58:00
LED-002081530,NQ-OUT-001-L-NVY,판매출고,-1,ORD-001221355,2026-08-09T19:28:00
LED-000792353,NQ-PNT-001-S-NVY,판매출고,-1,ORD-000459637,2025-10-18T09:29:00
LED-000518055,NQ-TOP-001-L-LYL,판매출고,-1,ORD-000300543,2025-06-27T23:05:00
LED-000845912,NQ-PNT-001-L-NVY,반품입고,1,ORD-000490697,2025-11-21T00:00:00
LED-000799910,NQ-TOP-002-L-BLK,판매출고,-1,ORD-000464004,2025-10-21T19:29:00
LED-001944356,NQ-TOP-001-L-GRY,판매출고,-1,ORD-001134206,2026-07-26T15:07:00
