customer_id,persona_segment,signup_channel,signup_date
CUST-000011188,Primary(18-24),ZIGZAG,2024-04-05
CUST-000011573,Primary(18-24),ZIGZAG,2024-04-07
CUST-000011912,Primary(18-24),ZIGZAG,2024-04-08
CUST-000012211,Secondary(25-28),ZIGZAG,2024-04-10
CUST-000012296,Secondary(25-28),ZIGZAG,2024-04-10
CUST-000012300,Secondary(25-28),ZIGZAG,2024-04-10
CUST-000012346,Primary(18-24),ZIGZAG,2024-04-11
CUST-000012973,Primary(18-24),ZIGZAG,2024-04-14
CUST-000013240,Primary(18-24),ZIGZAG,2024-04-15
CUST-000013262,Primary(18-24),ZIGZAG,2024-04-15
CUST-000013338,Primary(18-24),ZIGZAG,2024-04-15
CUST-000013346,Primary(18-24),ZIGZAG,2024-04-15
CUST-000013380,Secondary(25-28),ZIGZAG,2024-04-16
CUST-000013436,Primary(18-24),ZIGZAG,2024-04-16
CUST-000013480,Primary(18-24),ZIGZAG,2024-04-16
CUST-000013816,Secondary(25-28),ZIGZAG,2024-04-18
CUST-000013923,Primary(18-24),ZIGZAG,2024-04-19
CUST-000013989,Secondary(25-28),ZIGZAG,2024-04-19
CUST-000014370,Primary(18-24),ZIGZAG,2024-04-21
CUST-000014512,Primary(18-24),ZIGZAG,2024-04-21
CUST-000015211,Primary(18-24),ZIGZAG,2024-04-25
CUST-000015576,Primary(18-24),ZIGZAG,2024-04-27
CUST-000015733,Primary(18-24),ZIGZAG,2024-04-28
CUST-000016094,Primary(18-24),ZIGZAG,2024-04-29
CUST-000016243,Secondary(25-28),ZIGZAG,2024-04-30
CUST-000016512,Primary(18-24),ZIGZAG,2024-05-02
CUST-000016686,Secondary(25-28),ZIGZAG,2024-05-03
CUST-000016782,Primary(18-24),ZIGZAG,2024-05-03
CUST-000016814,Secondary(25-28),ZIGZAG,2024-05-03
CUST-000017304,Primary(18-24),ZIGZAG,2024-05-05
CUST-000017387,Primary(18-24),ZIGZAG,2024-05-05
CUST-000018235,Primary(18-24),ZIGZAG,2024-05-10
CUST-000018731,Primary(18-24),ZIGZAG,2024-05-12
CUST-000018774,Secondary(25-28),ZIGZAG,2024-05-12
CUST-000019956,Primary(18-24),ZIGZAG,2024-05-19
CUST-000020209,Secondary(25-28),ZIGZAG,2024-05-20
CUST-000020256,Secondary(25-28),ZIGZAG,2024-05-20
CUST-000020326,Primary(18-24),ZIGZAG,2024-05-21
CUST-000020613,Secondary(25-28),ZIGZAG,2024-05-22
CUST-000020884,Secondary(25-28),ZIGZAG,2024-05-24
CUST-000021041,Primary(18-24),ZIGZAG,2024-05-25
CUST-000021280,Primary(18-24),ZIGZAG,2024-05-25
CUST-000021355,Primary(18-24),ZIGZAG,2024-05-26
CUST-000021630,Primary(18-24),ZIGZAG,2024-05-27
CUST-000021874,Primary(18-24),ZIGZAG,2024-05-28
CUST-000022009,Primary(18-24),ZIGZAG,2024-05-29
CUST-000022142,Primary(18-24),ZIGZAG,2024-05-30
CUST-000022300,Primary(18-24),ZIGZAG,2024-05-31
CUST-000022668,Primary(18-24),ZIGZAG,2024-06-01
CUST-000022745,Secondary(25-28),ZIGZAG,2024-06-02
CUST-000022880,Primary(18-24),ZIGZAG,2024-06-02
CUST-000022913,Primary(18-24),ZIGZAG,2024-06-02
CUST-000022926,Secondary(25-28),ZIGZAG,2024-06-02
CUST-000023181,Primary(18-24),ZIGZAG,2024-06-03
CUST-000023697,Primary(18-24),ZIGZAG,2024-06-06
CUST-000023745,Primary(18-24),ZIGZAG,2024-06-07
CUST-000023891,Primary(18-24),ZIGZAG,2024-06-07
CUST-000024241,Secondary(25-28),ZIGZAG,2024-06-09
CUST-000024268,Primary(18-24),ZIGZAG,2024-06-09
CUST-000024406,Secondary(25-28),ZIGZAG,2024-06-09
CUST-000024502,Secondary(25-28),ZIGZAG,2024-06-10
CUST-000024765,Primary(18-24),ZIGZAG,2024-06-11
CUST-000025670,Primary(18-24),ZIGZAG,2024-06-16
CUST-000025976,Secondary(25-28),ZIGZAG,2024-06-17
CUST-000027584,Primary(18-24),ZIGZAG,2024-06-24
CUST-000027737,Primary(18-24),ZIGZAG,2024-06-25
CUST-000027783,Primary(18-24),ZIGZAG,2024-06-25
CUST-000028011,Primary(18-24),ZIGZAG,2024-06-27
CUST-000028301,Primary(18-24),ZIGZAG,2024-06-28
CUST-000028318,Primary(18-24),ZIGZAG,2024-06-28
CUST-000028631,Secondary(25-28),ZIGZAG,2024-06-30
CUST-000028869,Secondary(25-28),ZIGZAG,2024-06-30
CUST-000029161,Primary(18-24),ZIGZAG,2024-07-02
CUST-000029186,Primary(18-24),ZIGZAG,2024-07-02
CUST-000029333,Primary(18-24),ZIGZAG,2024-07-03
CUST-000029502,Primary(18-24),ZIGZAG,2024-07-04
CUST-000029527,Primary(18-24),ZIGZAG,2024-07-04
CUST-000029780,Secondary(25-28),ZIGZAG,2024-07-05
CUST-000029949,Primary(18-24),ZIGZAG,2024-07-06
CUST-000030086,Secondary(25-28),ZIGZAG,2024-07-07
CUST-000030321,Secondary(25-28),ZIGZAG,2024-07-07
CUST-000030373,Primary(18-24),ZIGZAG,2024-07-08
CUST-000030687,Primary(18-24),ZIGZAG,2024-07-09
CUST-000030796,Primary(18-24),ZIGZAG,2024-07-10
CUST-000031484,Primary(18-24),ZIGZAG,2024-07-13
CUST-000031916,Primary(18-24),ZIGZAG,2024-07-15
CUST-000031993,Primary(18-24),ZIGZAG,2024-07-15
CUST-000032403,Secondary(25-28),ZIGZAG,2024-07-18
CUST-000033151,Secondary(25-28),ZIGZAG,2024-07-21
CUST-000033260,Primary(18-24),ZIGZAG,2024-07-21
CUST-000033281,Primary(18-24),ZIGZAG,2024-07-22
CUST-000033434,Primary(18-24),ZIGZAG,2024-07-22
CUST-000033875,Primary(18-24),ZIGZAG,2024-07-25
CUST-000034277,Primary(18-24),ZIGZAG,2024-07-25
CUST-000034301,Secondary(25-28),ZIGZAG,2024-07-26
CUST-000034310,Secondary(25-28),ZIGZAG,2024-07-26
CUST-000034321,Primary(18-24),ZIGZAG,2024-07-26
CUST-000035172,Primary(18-24),ZIGZAG,2024-07-27
CUST-000035327,Secondary(25-28),ZIGZAG,2024-07-27
CUST-000035488,Primary(18-24),ZIGZAG,2024-07-28
CUST-000035814,Secondary(25-28),ZIGZAG,2024-07-28
CUST-000036006,Primary(18-24),ZIGZAG,2024-07-28
CUST-000036044,Secondary(25-28),ZIGZAG,2024-07-28
CUST-000036274,Secondary(25-28),ZIGZAG,2024-07-29
CUST-000036500,Secondary(25-28),ZIGZAG,2024-07-29
CUST-000037216,Primary(18-24),ZIGZAG,2024-07-31
CUST-000037225,Secondary(25-28),ZIGZAG,2024-07-31
CUST-000037336,Primary(18-24),ZIGZAG,2024-07-31
CUST-000037412,Primary(18-24),ZIGZAG,2024-07-31
CUST-000038407,Primary(18-24),ZIGZAG,2024-08-02
CUST-000038837,Secondary(25-28),ZIGZAG,2024-08-03
CUST-000038843,Primary(18-24),ZIGZAG,2024-08-03
CUST-000038926,Primary(18-24),ZIGZAG,2024-08-03
CUST-000039457,Primary(18-24),ZIGZAG,2024-08-04
CUST-000039590,Primary(18-24),ZIGZAG,2024-08-04
CUST-000039638,Secondary(25-28),ZIGZAG,2024-08-04
CUST-000040008,Secondary(25-28),ZIGZAG,2024-08-05
CUST-000040112,Primary(18-24),ZIGZAG,2024-08-05
CUST-000040350,Secondary(25-28),ZIGZAG,2024-08-06
CUST-000040376,Primary(18-24),ZIGZAG,2024-08-06
CUST-000041225,Primary(18-24),ZIGZAG,2024-08-08
CUST-000041473,Primary(18-24),ZIGZAG,2024-08-08
CUST-000041565,Primary(18-24),ZIGZAG,2024-08-08
CUST-000041985,Secondary(25-28),ZIGZAG,2024-08-09
CUST-000042468,Primary(18-24),ZIGZAG,2024-08-10
CUST-000043072,Primary(18-24),ZIGZAG,2024-08-12
CUST-000043223,Primary(18-24),ZIGZAG,2024-08-13
CUST-000044009,Secondary(25-28),ZIGZAG,2024-08-17
CUST-000044060,Secondary(25-28),ZIGZAG,2024-08-17
CUST-000044211,Primary(18-24),ZIGZAG,2024-08-18
CUST-000045013,Primary(18-24),ZIGZAG,2024-08-21
CUST-000045729,Primary(18-24),ZIGZAG,2024-08-25
CUST-000045819,Secondary(25-28),ZIGZAG,2024-08-25
CUST-000046389,Primary(18-24),ZIGZAG,2024-08-28
CUST-000046408,Primary(18-24),ZIGZAG,2024-08-28
CUST-000046509,Primary(18-24),ZIGZAG,2024-08-29
CUST-000046597,Secondary(25-28),ZIGZAG,2024-08-29
CUST-000046760,Primary(18-24),ZIGZAG,2024-08-30
CUST-000046895,Secondary(25-28),ZIGZAG,2024-08-31
CUST-000047134,Secondary(25-28),ZIGZAG,2024-09-01
CUST-000047674,Primary(18-24),ZIGZAG,2024-09-02
CUST-000047692,Primary(18-24),ZIGZAG,2024-09-02
CUST-000047727,Primary(18-24),ZIGZAG,2024-09-03
CUST-000048499,Secondary(25-28),ZIGZAG,2024-09-06
CUST-000048568,Secondary(25-28),ZIGZAG,2024-09-06
CUST-000049311,Primary(18-24),ZIGZAG,2024-09-08
CUST-000049499,Primary(18-24),ZIGZAG,2024-09-09
CUST-000049531,Primary(18-24),ZIGZAG,2024-09-09
CUST-000049895,Secondary(25-28),ZIGZAG,2024-09-11
CUST-000050178,Secondary(25-28),ZIGZAG,2024-09-12
CUST-000050493,Secondary(25-28),ZIGZAG,2024-09-13
CUST-000050542,Secondary(25-28),ZIGZAG,2024-09-13
CUST-000050617,Primary(18-24),ZIGZAG,2024-09-14
CUST-000050678,Primary(18-24),ZIGZAG,2024-09-14
CUST-000050686,Primary(18-24),ZIGZAG,2024-09-14
CUST-000051346,Secondary(25-28),ZIGZAG,2024-09-16
CUST-000052247,Secondary(25-28),ZIGZAG,2024-09-19
CUST-000052346,Primary(18-24),ZIGZAG,2024-09-20
CUST-000052445,Secondary(25-28),ZIGZAG,2024-09-20
CUST-000052482,Primary(18-24),ZIGZAG,2024-09-20
CUST-000052810,Primary(18-24),ZIGZAG,2024-09-21
CUST-000053961,Secondary(25-28),ZIGZAG,2024-09-26
CUST-000054132,Primary(18-24),ZIGZAG,2024-09-27
CUST-000054623,Primary(18-24),ZIGZAG,2024-09-28
CUST-000054757,Primary(18-24),ZIGZAG,2024-09-29
CUST-000055100,Primary(18-24),ZIGZAG,2024-09-30
CUST-000055160,Secondary(25-28),ZIGZAG,2024-09-30
CUST-000055191,Primary(18-24),ZIGZAG,2024-09-30
CUST-000055917,Primary(18-24),ZIGZAG,2024-10-03
CUST-000056190,Primary(18-24),ZIGZAG,2024-10-04
CUST-000056198,Primary(18-24),ZIGZAG,2024-10-04
CUST-000056325,Secondary(25-28),ZIGZAG,2024-10-05
CUST-000056975,Secondary(25-28),ZIGZAG,2024-10-06
CUST-000057084,Primary(18-24),ZIGZAG,2024-10-07
CUST-000057260,Primary(18-24),ZIGZAG,2024-10-07
CUST-000057372,Primary(18-24),ZIGZAG,2024-10-08
CUST-000057483,Primary(18-24),ZIGZAG,2024-10-08
CUST-000057495,Secondary(25-28),ZIGZAG,2024-10-08
CUST-000057852,Primary(18-24),ZIGZAG,2024-10-10
CUST-000058098,Primary(18-24),ZIGZAG,2024-10-11
CUST-000058187,Secondary(25-28),ZIGZAG,2024-10-11
CUST-000058443,Primary(18-24),ZIGZAG,2024-10-12
CUST-000058531,Secondary(25-28),ZIGZAG,2024-10-12
CUST-000058746,Primary(18-24),ZIGZAG,2024-10-13
CUST-000059237,Secondary(25-28),ZIGZAG,2024-10-14
CUST-000059374,Primary(18-24),ZIGZAG,2024-10-15
CUST-000060227,Primary(18-24),ZIGZAG,2024-10-18
CUST-000060255,Secondary(25-28),ZIGZAG,2024-10-19
CUST-000061202,Primary(18-24),ZIGZAG,2024-10-21
CUST-000062481,Primary(18-24),ZIGZAG,2024-10-26
CUST-000062679,Primary(18-24),ZIGZAG,2024-10-27
CUST-000063372,Primary(18-24),ZIGZAG,2024-10-29
CUST-000063468,Secondary(25-28),ZIGZAG,2024-10-30
CUST-000063474,Primary(18-24),ZIGZAG,2024-10-30
CUST-000063511,Primary(18-24),ZIGZAG,2024-10-30
CUST-000064030,Primary(18-24),ZIGZAG,2024-11-01
CUST-000064819,Secondary(25-28),ZIGZAG,2024-11-03
CUST-000064979,Primary(18-24),ZIGZAG,2024-11-04
CUST-000065060,Secondary(25-28),ZIGZAG,2024-11-04
CUST-000065973,Primary(18-24),ZIGZAG,2024-11-08
CUST-000066097,Primary(18-24),ZIGZAG,2024-11-08
CUST-000066203,Secondary(25-28),ZIGZAG,2024-11-09
CUST-000066431,Primary(18-24),ZIGZAG,2024-11-09
CUST-000067360,Primary(18-24),ZIGZAG,2024-11-13
CUST-000067459,Primary(18-24),ZIGZAG,2024-11-13
CUST-000068328,Secondary(25-28),ZIGZAG,2024-11-16
CUST-000068377,Secondary(25-28),ZIGZAG,2024-11-16
CUST-000068392,Primary(18-24),ZIGZAG,2024-11-16
CUST-000068422,Primary(18-24),ZIGZAG,2024-11-16
CUST-000069139,Primary(18-24),ZIGZAG,2024-11-19
CUST-000069165,Primary(18-24),ZIGZAG,2024-11-19
CUST-000069185,Primary(18-24),ZIGZAG,2024-11-19
CUST-000069429,Primary(18-24),ZIGZAG,2024-11-20
CUST-000069793,Primary(18-24),ZIGZAG,2024-11-20
CUST-000069870,Secondary(25-28),ZIGZAG,2024-11-20
CUST-000070134,Primary(18-24),ZIGZAG,2024-11-21
CUST-000070599,Primary(18-24),ZIGZAG,2024-11-21
CUST-000070706,Secondary(25-28),ZIGZAG,2024-11-21
CUST-000071080,Primary(18-24),ZIGZAG,2024-11-22
CUST-000071625,Primary(18-24),ZIGZAG,2024-11-23
CUST-000072228,Primary(18-24),ZIGZAG,2024-11-23
CUST-000072354,Secondary(25-28),ZIGZAG,2024-11-23
CUST-000072509,Secondary(25-28),ZIGZAG,2024-11-23
CUST-000072630,Primary(18-24),ZIGZAG,2024-11-24
CUST-000072861,Primary(18-24),ZIGZAG,2024-11-24
CUST-000072991,Primary(18-24),ZIGZAG,2024-11-24
CUST-000073047,Primary(18-24),ZIGZAG,2024-11-24
CUST-000073267,Primary(18-24),ZIGZAG,2024-11-24
CUST-000073460,Secondary(25-28),ZIGZAG,2024-11-24
CUST-000074310,Primary(18-24),ZIGZAG,2024-11-25
CUST-000074341,Secondary(25-28),ZIGZAG,2024-11-25
CUST-000074574,Primary(18-24),ZIGZAG,2024-11-26
CUST-000074630,Primary(18-24),ZIGZAG,2024-11-26
CUST-000075378,Primary(18-24),ZIGZAG,2024-11-27
CUST-000075518,Primary(18-24),ZIGZAG,2024-11-27
CUST-000075630,Primary(18-24),ZIGZAG,2024-11-27
CUST-000075795,Primary(18-24),ZIGZAG,2024-11-27
CUST-000077001,Secondary(25-28),ZIGZAG,2024-11-29
CUST-000077019,Primary(18-24),ZIGZAG,2024-11-29
CUST-000077043,Primary(18-24),ZIGZAG,2024-11-29
CUST-000077110,Primary(18-24),ZIGZAG,2024-11-29
CUST-000077530,Primary(18-24),ZIGZAG,2024-11-30
CUST-000077572,Primary(18-24),ZIGZAG,2024-11-30
CUST-000077735,Primary(18-24),ZIGZAG,2024-11-30
CUST-000078099,Primary(18-24),ZIGZAG,2024-11-30
CUST-000078658,Secondary(25-28),ZIGZAG,2024-12-01
CUST-000079295,Primary(18-24),ZIGZAG,2024-12-03
CUST-000080435,Primary(18-24),ZIGZAG,2024-12-07
CUST-000080728,Secondary(25-28),ZIGZAG,2024-12-08
CUST-000081201,Secondary(25-28),ZIGZAG,2024-12-10
CUST-000081789,Primary(18-24),ZIGZAG,2024-12-13
CUST-000081805,Secondary(25-28),ZIGZAG,2024-12-13
CUST-000082138,Primary(18-24),ZIGZAG,2024-12-14
CUST-000082291,Primary(18-24),ZIGZAG,2024-12-14
CUST-000082429,Secondary(25-28),ZIGZAG,2024-12-15
CUST-000082769,Secondary(25-28),ZIGZAG,2024-12-15
CUST-000082941,Primary(18-24),ZIGZAG,2024-12-15
CUST-000083078,Secondary(25-28),ZIGZAG,2024-12-16
CUST-000083129,Secondary(25-28),ZIGZAG,2024-12-16
CUST-000083336,Primary(18-24),ZIGZAG,2024-12-16
CUST-000083343,Primary(18-24),ZIGZAG,2024-12-16
CUST-000083539,Secondary(25-28),ZIGZAG,2024-12-17
CUST-000083908,Primary(18-24),ZIGZAG,2024-12-17
CUST-000084475,Secondary(25-28),ZIGZAG,2024-12-18
CUST-000084609,Secondary(25-28),ZIGZAG,2024-12-19
CUST-000085318,Primary(18-24),ZIGZAG,2024-12-20
CUST-000085627,Secondary(25-28),ZIGZAG,2024-12-21
CUST-000085761,Primary(18-24),ZIGZAG,2024-12-21
CUST-000085851,Secondary(25-28),ZIGZAG,2024-12-21
CUST-000085886,Primary(18-24),ZIGZAG,2024-12-21
CUST-000086309,Primary(18-24),ZIGZAG,2024-12-22
CUST-000087088,Secondary(25-28),ZIGZAG,2024-12-23
CUST-000087957,Primary(18-24),ZIGZAG,2024-12-25
CUST-000088035,Primary(18-24),ZIGZAG,2024-12-25
CUST-000088400,Secondary(25-28),ZIGZAG,2024-12-26
CUST-000088435,Primary(18-24),ZIGZAG,2024-12-26
CUST-000088445,Primary(18-24),ZIGZAG,2024-12-26
CUST-000088618,Primary(18-24),ZIGZAG,2024-12-26
CUST-000088754,Primary(18-24),ZIGZAG,2024-12-26
CUST-000088813,Primary(18-24),ZIGZAG,2024-12-27
CUST-000089230,Primary(18-24),ZIGZAG,2024-12-27
CUST-000089493,Primary(18-24),ZIGZAG,2024-12-28
CUST-000089666,Primary(18-24),ZIGZAG,2024-12-28
CUST-000089683,Secondary(25-28),ZIGZAG,2024-12-28
CUST-000089714,Secondary(25-28),ZIGZAG,2024-12-28
CUST-000090269,Primary(18-24),ZIGZAG,2024-12-29
CUST-000090608,Secondary(25-28),ZIGZAG,2024-12-29
CUST-000090831,Secondary(25-28),ZIGZAG,2024-12-30
CUST-000090899,Primary(18-24),ZIGZAG,2024-12-30
CUST-000090981,Primary(18-24),ZIGZAG,2024-12-30
CUST-000092005,Secondary(25-28),ZIGZAG,2025-01-01
CUST-000092278,Secondary(25-28),ZIGZAG,2025-01-02
CUST-000092367,Primary(18-24),ZIGZAG,2025-01-02
CUST-000094039,Primary(18-24),ZIGZAG,2025-01-05
CUST-000094340,Primary(18-24),ZIGZAG,2025-01-05
CUST-000094432,Secondary(25-28),ZIGZAG,2025-01-05
CUST-000095431,Primary(18-24),ZIGZAG,2025-01-07
CUST-000095854,Primary(18-24),ZIGZAG,2025-01-08
CUST-000096053,Primary(18-24),ZIGZAG,2025-01-09
CUST-000097061,Secondary(25-28),ZIGZAG,2025-01-11
CUST-000097116,Primary(18-24),ZIGZAG,2025-01-11
CUST-000097157,Secondary(25-28),ZIGZAG,2025-01-11
CUST-000097158,Primary(18-24),ZIGZAG,2025-01-11
CUST-000097302,Secondary(25-28),ZIGZAG,2025-01-11
CUST-000097455,Primary(18-24),ZIGZAG,2025-01-11
CUST-000097488,Primary(18-24),ZIGZAG,2025-01-11
CUST-000097688,Secondary(25-28),ZIGZAG,2025-01-11
CUST-000098255,Primary(18-24),ZIGZAG,2025-01-12
CUST-000098677,Primary(18-24),ZIGZAG,2025-01-13
CUST-000098828,Primary(18-24),ZIGZAG,2025-01-13
CUST-000099426,Primary(18-24),ZIGZAG,2025-01-15
CUST-000099488,Primary(18-24),ZIGZAG,2025-01-15
CUST-000099774,Primary(18-24),ZIGZAG,2025-01-15
CUST-000100097,Secondary(25-28),ZIGZAG,2025-01-17
CUST-000100304,Primary(18-24),ZIGZAG,2025-01-18
CUST-000101569,Primary(18-24),ZIGZAG,2025-01-22
CUST-000101679,Primary(18-24),ZIGZAG,2025-01-22
CUST-000101830,Primary(18-24),ZIGZAG,2025-01-23
CUST-000102098,Primary(18-24),ZIGZAG,2025-01-24
CUST-000102500,Secondary(25-28),ZIGZAG,2025-01-25
CUST-000102553,Primary(18-24),ZIGZAG,2025-01-25
CUST-000102857,Primary(18-24),ZIGZAG,2025-01-26
CUST-000103472,Primary(18-24),ZIGZAG,2025-01-28
CUST-000103787,Secondary(25-28),ZIGZAG,2025-01-30
CUST-000103921,Primary(18-24),ZIGZAG,2025-01-30
CUST-000104351,Primary(18-24),ZIGZAG,2025-02-01
CUST-000105013,Primary(18-24),ZIGZAG,2025-02-03
CUST-000105554,Primary(18-24),ZIGZAG,2025-02-05
CUST-000106216,Primary(18-24),ZIGZAG,2025-02-08
CUST-000106233,Primary(18-24),ZIGZAG,2025-02-08
CUST-000106401,Secondary(25-28),ZIGZAG,2025-02-08
CUST-000106437,Primary(18-24),ZIGZAG,2025-02-08
CUST-000108343,Primary(18-24),ZIGZAG,2025-02-15
CUST-000108827,Secondary(25-28),ZIGZAG,2025-02-17
CUST-000109333,Primary(18-24),ZIGZAG,2025-02-19
CUST-000110829,Secondary(25-28),ZIGZAG,2025-02-24
CUST-000111232,Primary(18-24),ZIGZAG,2025-02-25
CUST-000111510,Secondary(25-28),ZIGZAG,2025-02-26
CUST-000111706,Primary(18-24),ZIGZAG,2025-02-27
CUST-000112459,Primary(18-24),ZIGZAG,2025-03-01
CUST-000112577,Primary(18-24),ZIGZAG,2025-03-01
CUST-000112606,Primary(18-24),ZIGZAG,2025-03-01
CUST-000113139,Primary(18-24),ZIGZAG,2025-03-01
CUST-000113288,Primary(18-24),ZIGZAG,2025-03-01
CUST-000113781,Primary(18-24),ZIGZAG,2025-03-01
CUST-000114215,Primary(18-24),ZIGZAG,2025-03-01
CUST-000114906,Primary(18-24),ZIGZAG,2025-03-02
CUST-000115358,Primary(18-24),ZIGZAG,2025-03-02
CUST-000115629,Secondary(25-28),ZIGZAG,2025-03-02
CUST-000115792,Secondary(25-28),ZIGZAG,2025-03-02
CUST-000115874,Primary(18-24),ZIGZAG,2025-03-02
CUST-000116022,Secondary(25-28),ZIGZAG,2025-03-02
CUST-000116168,Secondary(25-28),ZIGZAG,2025-03-02
CUST-000116298,Secondary(25-28),ZIGZAG,2025-03-02
CUST-000116503,Secondary(25-28),ZIGZAG,2025-03-03
CUST-000116542,Primary(18-24),ZIGZAG,2025-03-03
CUST-000116829,Primary(18-24),ZIGZAG,2025-03-03
CUST-000117095,Primary(18-24),ZIGZAG,2025-03-03
CUST-000117672,Primary(18-24),ZIGZAG,2025-03-03
CUST-000117696,Secondary(25-28),ZIGZAG,2025-03-03
CUST-000118531,Secondary(25-28),ZIGZAG,2025-03-04
CUST-000118612,Primary(18-24),ZIGZAG,2025-03-04
CUST-000118788,Primary(18-24),ZIGZAG,2025-03-04
CUST-000119801,Primary(18-24),ZIGZAG,2025-03-05
CUST-000119824,Secondary(25-28),ZIGZAG,2025-03-05
CUST-000120722,Primary(18-24),ZIGZAG,2025-03-05
CUST-000121274,Primary(18-24),ZIGZAG,2025-03-06
CUST-000121524,Primary(18-24),ZIGZAG,2025-03-06
CUST-000121687,Secondary(25-28),ZIGZAG,2025-03-06
CUST-000121958,Primary(18-24),ZIGZAG,2025-03-06
CUST-000122939,Primary(18-24),ZIGZAG,2025-03-07
CUST-000122946,Secondary(25-28),ZIGZAG,2025-03-07
CUST-000124179,Primary(18-24),ZIGZAG,2025-03-08
CUST-000124245,Primary(18-24),ZIGZAG,2025-03-08
CUST-000124403,Secondary(25-28),ZIGZAG,2025-03-08
CUST-000125264,Secondary(25-28),ZIGZAG,2025-03-08
CUST-000125322,Primary(18-24),ZIGZAG,2025-03-08
CUST-000127228,Primary(18-24),ZIGZAG,2025-03-09
CUST-000128374,Primary(18-24),ZIGZAG,2025-03-09
CUST-000128647,Primary(18-24),ZIGZAG,2025-03-10
CUST-000129058,Primary(18-24),ZIGZAG,2025-03-10
CUST-000129364,Secondary(25-28),ZIGZAG,2025-03-10
CUST-000129546,Secondary(25-28),ZIGZAG,2025-03-10
CUST-000129614,Primary(18-24),ZIGZAG,2025-03-10
CUST-000129626,Secondary(25-28),ZIGZAG,2025-03-10
CUST-000129746,Secondary(25-28),ZIGZAG,2025-03-10
CUST-000129898,Secondary(25-28),ZIGZAG,2025-03-10
